recorded,RADON_pCi/L,TEMP_F,HUMIDITY,PRESSURE_hPa,CO2_ppm,VOC_ppb,High_CO2
2021-02-01 00:00:09,1.22,63.39,39.0,989,560,75.0,No
2021-02-01 01:00:09,1.19,62.67,38.5,989,548,91.0,No
2021-02-01 02:00:09,1.19,63.55,38.0,989,593,110.0,No
2021-02-01 03:00:09,1.22,63.07,37.5,989,573,110.0,No
2021-02-01 04:00:09,1.24,62.33,37.5,990,555,138.0,No
2021-02-01 05:00:09,1.3,61.68,37.5,990,546,184.0,No
2021-02-01 06:00:09,1.3,62.49,38.5,990,547,229.0,No
2021-02-01 07:00:09,1.3,62.24,38.5,990,547,328.0,No
2021-02-01 08:00:09,1.3,62.71,37.5,991,541,335.0,No
2021-02-01 09:00:09,1.35,62.15,37.0,991,536,397.0,No
2021-02-01 10:00:09,1.3,62.74,36.5,991,530,394.0,No
2021-02-01 11:00:09,1.24,63.95,36.0,991,542,425.0,No
2021-02-01 12:00:09,1.22,64.47,35.5,992,543,342.0,No
2021-02-01 13:00:09,1.14,63.95,35.0,992,521,205.0,No
2021-02-01 14:00:09,1.16,63.23,35.0,992,513,155.0,No
2021-02-01 15:00:09,1.19,62.55,35.0,993,504,150.0,No
2021-02-01 16:00:09,1.19,62.76,35.0,993,508,144.0,No
2021-02-01 17:00:09,1.22,63.21,35.0,993,511,101.0,No
2021-02-01 18:00:09,1.19,63.88,35.0,992,513,69.0,No
2021-02-01 19:00:09,1.14,64.36,35.0,992,526,48.0,No
2021-02-01 20:00:09,1.05,65.8,34.0,992,537,54.0,No
2021-02-01 21:00:09,1.14,66.02,34.0,992,549,72.0,No
2021-02-01 22:00:09,1.14,65.05,39.5,992,855,1580.0,Yes
2021-02-01 23:00:09,1.16,63.86,37.5,992,746,448.0,No
2021-02-02 00:00:09,1.14,63.7,37.5,992,657,157.0,No
2021-02-02 01:00:09,1.14,63.63,37.0,993,616,129.0,No
2021-02-02 02:00:09,1.14,63.81,37.5,993,607,172.0,No
2021-02-02 03:00:09,1.14,64.11,37.0,993,618,349.0,No
2021-02-02 04:00:09,1.05,63.03,37.0,993,604,380.0,No
2021-02-02 05:00:09,1.0,62.49,37.5,993,585,294.0,No
2021-02-02 06:00:09,0.97,61.99,37.0,993,568,208.0,No
2021-02-02 07:00:09,1.0,62.26,36.5,994,553,163.0,No
2021-02-02 08:00:09,0.97,62.51,36.5,993,541,119.0,No
2021-02-02 09:00:09,0.89,62.74,35.5,993,541,131.0,No
2021-02-02 10:00:09,0.97,62.67,35.5,993,538,131.0,No
2021-02-02 11:00:09,1.0,63.3,36.5,993,533,146.0,No
2021-02-02 12:00:09,1.0,64.36,36.5,993,533,142.0,No
2021-02-02 13:00:09,1.03,65.03,36.5,993,523,108.0,No
2021-02-02 14:00:09,1.05,64.04,35.0,994,507,82.0,No
2021-02-02 15:00:09,1.08,62.91,35.0,994,476,46.0,No
2021-02-02 16:00:09,1.03,62.02,35.0,994,452,46.0,No
2021-02-02 17:00:09,1.0,63.1,36.0,994,491,129.0,No
2021-02-02 18:00:09,1.03,62.96,35.5,993,510,103.0,No
2021-02-02 19:00:09,1.08,63.61,35.0,992,523,89.0,No
2021-02-02 20:00:09,1.08,64.29,34.5,992,527,78.0,No
2021-02-02 21:00:09,1.11,64.71,35.0,992,541,80.0,No
2021-02-02 22:00:09,1.08,64.87,36.0,992,551,61.0,No
2021-02-02 23:00:09,1.03,64.51,35.5,992,588,50.0,No
2021-02-03 00:00:09,1.14,64.09,35.5,991,558,46.0,No
2021-02-03 01:00:09,1.14,63.64,35.5,991,547,56.0,No
2021-02-03 02:00:09,1.11,63.52,35.0,991,558,114.0,No
2021-02-03 03:00:09,1.08,63.41,34.5,991,563,157.0,No
2021-02-03 04:00:09,1.11,62.89,34.0,991,564,178.0,No
2021-02-03 05:00:09,1.11,61.88,34.0,991,560,215.0,No
2021-02-03 06:00:09,1.11,61.72,34.0,990,553,250.0,No
2021-02-03 07:00:09,1.11,61.48,33.5,990,550,246.0,No
2021-02-03 08:00:09,1.16,61.56,33.5,990,537,212.0,No
2021-02-03 09:00:09,1.22,63.05,33.0,990,539,165.0,No
2021-02-03 10:00:09,1.16,64.35,32.5,990,538,161.0,No
2021-02-03 11:00:09,1.22,65.35,32.0,990,538,135.0,No
2021-02-03 12:00:09,1.27,66.4,31.5,989,531,105.0,No
2021-02-03 13:00:09,1.32,66.43,31.0,989,520,91.0,No
2021-02-03 14:00:09,1.27,65.05,31.0,989,505,69.0,No
2021-02-03 15:00:09,1.3,65.01,30.5,989,492,86.0,No
2021-02-03 16:00:09,1.32,65.3,31.0,988,493,91.0,No
2021-02-03 17:00:09,1.35,65.26,31.0,988,505,71.0,No
2021-02-03 18:00:09,1.43,65.64,31.5,987,518,58.0,No
2021-02-03 19:00:09,1.46,65.64,31.5,986,521,46.0,No
2021-02-03 20:00:09,1.49,65.8,32.0,985,526,46.0,No
2021-02-03 21:00:09,1.41,64.92,32.0,984,508,58.0,No
2021-02-03 22:00:09,1.46,64.62,35.0,984,785,212.0,No
2021-02-03 23:00:09,1.57,63.79,35.0,983,753,345.0,No
2021-02-04 00:00:09,1.43,64.18,34.5,982,619,138.0,No
2021-02-04 01:00:09,1.49,63.75,34.5,982,569,106.0,No
2021-02-04 02:00:09,1.46,64.15,34.5,981,557,166.0,No
2021-02-04 03:00:09,1.51,63.12,34.0,981,523,161.0,No
2021-02-04 04:00:09,1.62,62.37,34.0,979,508,201.0,No
2021-02-04 05:19:41,2.22,61.93,34.5,979,573,82.0,No
2021-02-04 06:19:41,2.81,61.47,34.5,979,607,75.0,No
2021-02-04 07:19:41,3.03,63.0,35.5,978,628,131.0,No
2021-02-04 08:19:41,2.22,63.0,35.5,977,638,129.0,No
2021-02-04 09:19:41,1.78,63.12,35.5,976,636,93.0,No
2021-02-04 10:19:41,1.49,63.5,36.0,975,633,76.0,No
2021-02-04 11:19:41,1.57,65.32,36.5,974,653,93.0,No
2021-02-04 12:19:41,1.78,64.42,36.0,973,643,63.0,No
2021-02-04 13:19:41,1.59,64.44,36.5,972,631,48.0,No
2021-02-04 14:19:41,1.89,63.7,36.0,971,616,46.0,No
2021-02-04 15:19:41,1.7,63.27,36.0,970,620,46.0,No
2021-02-04 16:19:41,1.65,62.55,36.5,969,617,46.0,No
2021-02-04 17:19:41,1.51,62.37,36.5,967,606,48.0,No
2021-02-04 18:19:41,1.41,62.08,36.5,965,614,46.0,No
2021-02-04 19:19:41,1.38,61.77,37.0,964,627,46.0,No
2021-02-04 20:19:41,1.35,61.99,37.5,962,638,48.0,No
2021-02-04 21:19:41,1.35,63.12,38.0,961,647,48.0,No
2021-02-04 22:19:41,1.32,63.5,38.5,960,628,58.0,No
2021-02-04 23:19:41,1.49,63.28,38.0,960,618,59.0,No
2021-02-05 00:19:41,1.54,63.19,38.5,961,627,54.0,No
2021-02-05 01:19:41,1.54,63.19,38.5,962,645,114.0,No
2021-02-05 02:19:41,1.62,63.46,38.0,962,673,174.0,No
2021-02-05 03:19:41,1.62,63.1,38.0,963,674,163.0,No
2021-02-05 04:19:41,1.59,62.19,37.0,964,664,153.0,No
2021-02-05 05:19:41,1.62,62.08,36.5,965,650,116.0,No
2021-02-05 06:19:41,1.7,62.83,35.5,966,639,80.0,No
2021-02-05 07:19:41,1.62,62.28,35.0,967,631,56.0,No
2021-02-05 08:19:41,1.73,62.78,34.5,968,621,58.0,No
2021-02-05 09:19:41,1.7,63.03,34.0,968,612,52.0,No
2021-02-05 10:19:41,1.73,63.59,33.5,968,611,59.0,No
2021-02-05 11:19:41,1.7,64.71,33.0,968,622,76.0,No
2021-02-05 12:19:41,1.7,64.47,32.5,969,606,76.0,No
2021-02-05 13:19:41,1.81,64.22,32.0,969,596,56.0,No
2021-02-05 14:19:41,1.81,63.34,32.0,970,597,54.0,No
2021-02-05 15:19:41,1.84,62.31,32.0,971,595,46.0,No
2021-02-05 16:19:41,1.84,62.35,32.0,971,589,54.0,No
2021-02-05 17:19:41,1.86,62.37,31.5,971,584,46.0,No
2021-02-05 18:19:41,1.95,62.44,31.5,971,582,46.0,No
2021-02-05 19:19:41,2.24,62.82,31.5,971,583,46.0,No
2021-02-05 20:19:41,2.41,62.65,31.0,971,578,54.0,No
2021-02-05 21:19:41,2.57,63.59,30.5,972,583,86.0,No
2021-02-05 22:19:41,2.76,63.41,31.0,972,591,99.0,No
2021-02-05 23:19:41,2.81,63.5,31.0,973,585,59.0,No
2021-02-06 00:19:41,2.86,63.72,30.5,974,591,76.0,No
2021-02-06 01:19:41,2.97,63.66,30.0,975,592,86.0,No
2021-02-06 02:19:41,2.76,63.93,30.0,976,595,135.0,No
2021-02-06 03:19:41,2.7,63.37,30.0,977,601,198.0,No
2021-02-06 04:19:41,2.7,62.19,30.0,978,598,215.0,No
2021-02-06 05:19:41,2.68,61.72,30.0,978,601,259.0,No
2021-02-06 06:19:41,2.57,61.86,29.5,979,603,339.0,No
2021-02-06 07:19:41,2.57,61.83,29.5,979,597,318.0,No
2021-02-06 08:19:41,2.46,62.35,29.0,980,597,318.0,No
2021-02-06 09:19:41,2.57,62.33,29.0,980,589,273.0,No
2021-02-06 10:19:41,2.78,61.99,28.5,981,579,225.0,No
2021-02-06 11:19:41,2.95,62.89,28.5,982,585,270.0,No
2021-02-06 12:19:41,2.81,63.55,28.0,982,589,284.0,No
2021-02-06 13:19:41,2.76,62.92,28.0,983,576,264.0,No
2021-02-06 14:19:41,2.59,63.18,27.5,984,567,301.0,No
2021-02-06 15:19:41,2.59,62.53,27.5,985,565,301.0,No
2021-02-06 16:19:41,2.73,62.11,27.5,986,565,311.0,No
2021-02-06 17:19:41,2.73,62.19,27.5,987,575,277.0,No
2021-02-06 18:19:41,2.68,61.57,27.5,986,581,229.0,No
2021-02-06 19:19:41,2.43,61.34,27.5,985,588,163.0,No
2021-02-06 20:19:41,2.22,61.16,28.0,985,605,133.0,No
2021-02-06 21:19:41,2.32,60.96,29.5,985,734,318.0,No
2021-02-06 22:19:41,2.35,60.51,30.5,985,856,287.0,Yes
2021-02-06 23:19:41,2.38,60.03,29.5,985,714,99.0,No
2021-02-07 00:19:41,2.38,59.92,29.0,985,650,46.0,No
2021-02-07 01:19:41,2.59,60.13,28.5,986,631,69.0,No
2021-02-07 02:19:41,2.89,60.13,28.5,986,628,101.0,No
2021-02-07 03:19:41,3.05,59.54,28.0,987,623,103.0,No
2021-02-07 04:19:41,3.11,59.09,28.0,987,623,106.0,No
2021-02-07 05:19:41,3.14,59.07,28.0,987,611,69.0,No
2021-02-07 06:19:41,3.05,59.63,28.0,988,612,61.0,No
2021-02-07 07:19:41,3.0,59.76,27.5,988,610,99.0,No
2021-02-07 08:19:41,3.11,59.49,27.5,989,598,123.0,No
2021-02-07 09:19:41,3.03,59.31,27.0,989,587,150.0,No
2021-02-07 10:19:41,2.86,59.56,27.0,989,580,215.0,No
2021-02-07 11:19:41,2.68,59.18,26.5,990,570,187.0,No
2021-02-07 12:19:41,2.51,59.32,26.5,990,566,205.0,No
2021-02-07 13:19:41,2.46,59.81,26.0,991,560,219.0,No
2021-02-07 14:19:41,2.43,60.03,25.5,991,559,205.0,No
2021-02-07 15:19:41,2.43,59.77,25.5,992,553,144.0,No
2021-02-07 16:19:41,2.35,60.48,25.5,992,564,110.0,No
2021-02-07 17:19:41,2.41,60.71,25.5,992,576,91.0,No
2021-02-07 18:19:41,2.38,61.02,25.5,992,582,54.0,No
2021-02-07 19:19:41,2.35,61.52,25.5,991,590,46.0,No
2021-02-07 20:19:41,2.51,61.41,26.0,991,603,50.0,No
2021-02-07 21:19:41,2.32,60.46,25.5,992,604,133.0,No
2021-02-07 22:19:41,2.62,60.08,26.0,991,598,373.0,No
2021-02-07 23:19:41,2.54,59.95,26.0,991,597,345.0,No
2021-02-08 00:19:41,2.43,60.06,26.0,992,597,259.0,No
2021-02-08 01:19:41,2.3,59.86,26.0,993,598,201.0,No
2021-02-08 02:19:41,2.19,61.07,26.0,993,612,201.0,No
2021-02-08 03:19:41,2.14,61.11,26.0,993,608,169.0,No
2021-02-08 04:19:41,2.19,61.0,26.0,993,602,152.0,No
2021-02-08 05:19:41,2.08,60.6,26.0,993,597,131.0,No
2021-02-08 06:19:41,2.05,61.52,26.0,993,600,225.0,No
2021-02-08 07:19:41,2.03,62.37,26.0,993,598,428.0,No
2021-02-08 08:19:41,2.0,62.96,26.0,994,601,659.0,No
2021-02-08 09:19:41,2.0,63.34,26.0,994,600,787.0,No
2021-02-08 10:19:41,1.97,63.61,26.0,994,594,860.0,No
2021-02-08 11:19:41,2.0,63.48,25.5,994,587,761.0,No
2021-02-08 12:19:41,2.05,63.82,25.5,994,589,676.0,No
2021-02-08 13:19:41,2.03,63.48,25.5,994,580,556.0,No
2021-02-08 14:19:41,1.97,61.83,25.5,994,572,442.0,No
2021-02-08 15:19:41,2.05,61.52,25.5,994,567,425.0,No
2021-02-08 16:19:41,2.05,61.3,25.0,994,562,356.0,No
2021-02-08 17:19:41,2.16,61.59,25.0,994,554,259.0,No
2021-02-08 18:19:41,2.19,61.39,25.5,994,546,146.0,No
2021-02-08 19:19:41,2.3,61.36,25.5,993,550,80.0,No
2021-02-08 20:19:41,2.11,60.82,26.0,993,554,46.0,No
2021-02-08 21:19:41,2.05,61.75,28.0,993,673,103.0,No
2021-02-08 22:19:41,1.84,61.57,29.0,993,850,181.0,Yes
2021-02-08 23:19:41,1.89,61.84,27.5,993,707,82.0,No
2021-02-09 00:19:41,1.89,61.95,27.0,993,654,48.0,No
2021-02-09 01:19:41,1.81,62.42,26.5,994,643,146.0,No
2021-02-09 02:19:41,1.78,62.56,26.5,994,631,195.0,No
2021-02-09 03:19:41,1.84,61.97,26.0,994,627,264.0,No
2021-02-09 04:19:41,1.76,60.58,26.5,994,627,253.0,No
2021-02-09 05:19:41,1.89,60.22,26.0,994,626,225.0,No
2021-02-09 06:19:41,2.0,60.42,26.0,994,633,304.0,No
2021-02-09 07:19:41,2.0,60.62,25.5,994,632,301.0,No
