Date,Airline,OriginState,TimeOfDay,Speed
1/8/90,MILITARY,Louisiana,Day,304
1/9/90,MILITARY,Louisiana,Night,209
1/11/90,MILITARY,Louisiana,Day,137
1/11/90,SOUTHWEST AIRLINES,Louisiana,Day,148
1/12/90,MILITARY,Louisiana,Day,164
2/2/90,MILITARY,Louisiana,Day,181
2/6/90,MILITARY,Louisiana,Dusk,143
2/22/90,FEDEX EXPRESS,DC,Night,194
3/1/90,MILITARY,Louisiana,Day,183
3/2/90,MILITARY,Louisiana,Dusk,130
3/3/90,AIR WISCONSIN AIRLINES,DC,Day,181
3/8/90,MILITARY,Louisiana,Night,156
3/9/90,MILITARY,DC,Night,203
3/9/90,MILITARY,South Carolina,Night,193
3/9/90,MILITARY,Louisiana,Night,151
3/13/90,MILITARY,Louisiana,Day,253
3/19/90,MILITARY,Louisiana,Dusk,152
3/22/90,TRANS STATES AIRLINES,Missouri,Day,166
4/4/90,MILITARY,Louisiana,Night,140
4/7/90,MILITARY,Louisiana,Dusk,128
4/9/90,MILITARY,Louisiana,Day,213
4/15/90,MILITARY,Louisiana,Day,182
4/16/90,MILITARY,Louisiana,Dawn,151
4/18/90,MILITARY,Louisiana,Day,147
4/19/90,MILITARY,Louisiana,Day,184
4/19/90,MILITARY,Louisiana,Night,144
4/19/90,AMERICAN AIRLINES,Louisiana,Day,240
4/20/90,UNKNOWN,North Carolina,Day,106
4/23/90,MILITARY,Louisiana,Dawn,197
4/23/90,MILITARY,South Carolina,Night,168
4/24/90,MILITARY,South Carolina,Day,202
4/25/90,MILITARY,Louisiana,Dusk,142
4/25/90,MILITARY,Louisiana,Night,171
4/26/90,MILITARY,Louisiana,Night,187
4/27/90,US AIRWAYS*,California,Day,230
4/28/90,AMERICAN AIRLINES,Oregon,Night,132
4/29/90,AMERICAN AIRLINES,DC,Night,257
4/30/90,US AIRWAYS*,Florida,Day,145
5/1/90,UNITED AIRLINES,Illinois,Night,121
5/1/90,SOUTHWEST AIRLINES,Texas,Day,125
5/2/90,AMERICAN AIRLINES,Illinois,Night,134
5/3/90,SOUTHWEST AIRLINES,Texas,Night,321
5/5/90,AMERICAN AIRLINES,California,Night,262
5/5/90,AMERICAN AIRLINES,Oklahoma,Day,158
5/5/90,DELTA AIR LINES,Georgia,Night,185
5/7/90,BUSINESS,Indiana,Day,169
5/7/90,AMERICAN AIRLINES,Texas,Day,245
5/8/90,MILITARY,Missouri,Night,184
5/8/90,AMERICAN AIRLINES,California,Day,143
5/10/90,AMERICAN AIRLINES,California,Day,140
5/10/90,MILITARY,Louisiana,Night,226
5/11/90,AMERICAN AIRLINES,Illinois,Night,253
5/13/90,AMERICAN AIRLINES,Tennessee,Day,149
5/13/90,AMERICAN AIRLINES,Texas,Day,162
5/13/90,AMERICAN AIRLINES,Tennessee,Day,168
5/13/90,AMERICAN AIRLINES,Minnesota,Day,110
5/14/90,AMERICAN AIRLINES,Oregon,Night,204
5/14/90,AMERICAN AIRLINES,Missouri,Night,148
5/15/90,MILITARY,Illinois,Day,154
5/15/90,MILITARY,Illinois,Day,125
5/15/90,AMERICAN AIRLINES,Texas,Day,139
5/15/90,MILITARY,Utah,Day,157
5/16/90,ALOHA AIRLINES,Hawaii,Day,76
5/16/90,SOUTHWEST AIRLINES,Texas,Day,142
5/18/90,AMERICAN AIRLINES,Texas,Night,129
5/19/90,AMERICAN AIRLINES,Missouri,Night,146
5/20/90,AMERICAN AIRLINES,DC,Night,130
5/22/90,UNITED AIRLINES,California,Night,146
5/22/90,AMERICAN AIRLINES,Illinois,Night,142
5/23/90,DELTA AIR LINES,California,Day,157
5/24/90,MILITARY,South Carolina,Day,255
5/24/90,SOUTHWEST AIRLINES,Texas,Night,255
5/26/90,TRANS WORLD AIRLINES,Missouri,Day,168
5/26/90,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Night,180
5/26/90,AMERICAN AIRLINES,Tennessee,Day,171
5/27/90,UNITED AIRLINES,California,Day,142
5/27/90,US AIRWAYS*,Kentucky,Night,187
5/27/90,AMERICAN AIRLINES,Texas,Day,180
5/29/90,TRANS WORLD AIRLINES,Kentucky,Night,133
5/29/90,MILITARY,Louisiana,Night,132
5/29/90,MILITARY,Louisiana,Night,137
5/29/90,AMERICAN AIRLINES,Illinois,Day,163
5/30/90,SOUTHWEST AIRLINES,Louisiana,Day,140
5/30/90,BUSINESS,Missouri,Day,146
5/31/90,SOUTHWEST AIRLINES,Missouri,Day,143
5/31/90,UPS AIRLINES,Kentucky,Day,121
6/1/90,MILITARY,Louisiana,Day,154
6/1/90,AMERICAN AIRLINES,Texas,Day,120
6/4/90,AMERICAN AIRLINES,Texas,Night,211
6/5/90,AMERICAN AIRLINES,Oklahoma,Day,182
6/6/90,SOUTHWEST AIRLINES,Missouri,Night,217
6/7/90,MILITARY,Pennsylvania,Day,125
6/7/90,MILITARY,Louisiana,Day,203
6/7/90,AMERICAN AIRLINES,Illinois,Day,216
6/8/90,SOUTHWEST AIRLINES,California,Day,136
6/9/90,AMERICAN AIRLINES,Tennessee,Day,140
6/9/90,PSA AIRLINES,Maryland,Day,136
6/12/90,MILITARY,Louisiana,Day,151
6/12/90,SOUTHWEST AIRLINES,Oklahoma,Day,142
6/14/90,AMERICAN AIRLINES,Texas,Night,254
6/14/90,US AIRWAYS*,Kentucky,Day,120
6/14/90,AMERICAN AIRLINES,Tennessee,Dusk,89
6/17/90,SOUTHWEST AIRLINES,Oklahoma,Night,185
6/18/90,AMERICA WEST AIRLINES,Massachusetts,Dawn,133
6/19/90,MILITARY,Louisiana,Night,134
6/19/90,AMERICAN AIRLINES,Pennsylvania,Day,136
6/20/90,UNITED AIRLINES,California,Day,146
6/21/90,AMERICAN AIRLINES,Florida,Day,141
6/22/90,MILITARY,Louisiana,Day,159
6/23/90,SOUTHWEST AIRLINES,Texas,Day,256
6/23/90,CONTINENTAL AIRLINES,Ohio,Day,116
6/23/90,PSA AIRLINES,Ohio,Day,109
6/23/90,AMERICAN AIRLINES,California,Dusk,115
6/26/90,MILITARY,Louisiana,Night,163
6/26/90,UPS AIRLINES,Nebraska,Day,148
6/27/90,GOVERNMENT,New Jersey,Day,42
6/28/90,AMERICAN AIRLINES,Illinois,Day,132
6/28/90,AMERICAN AIRLINES,Texas,Night,253
6/30/90,AMERICAN AIRLINES,Illinois,Day,154
7/1/90,AMERICAN AIRLINES,Texas,Day,143
7/3/90,AMERICAN AIRLINES,Hawaii,Night,144
7/3/90,AMERICAN AIRLINES,Texas,Day,145
7/5/90,US AIRWAYS*,North Carolina,Day,126
7/6/90,AMERICAN AIRLINES,South Carolina,Day,106
7/6/90,UNITED AIRLINES,California,Day,126
7/7/90,UNITED AIRLINES,Kentucky,Day,149
7/8/90,AMERICAN AIRLINES,California,Day,142
7/8/90,US AIRWAYS*,North Carolina,Day,135
7/8/90,AMERICAN AIRLINES,Illinois,Day,211
7/9/90,NORTHWEST AIRLINES,Washington,Day,210
7/10/90,AMERICAN AIRLINES,Tennessee,Night,132
7/11/90,DELTA AIR LINES,Utah,Day,358
7/11/90,DELTA AIR LINES,Georgia,Dawn,138
7/12/90,BUSINESS,Ohio,Day,133
7/13/90,ALOHA AIRLINES,Hawaii,Dawn,91
7/13/90,ALASKA AIRLINES,California,Day,126
7/15/90,AMERICAN AIRLINES,Pennsylvania,Night,166
7/15/90,AMERICAN AIRLINES,Tennessee,Dusk,123
7/16/90,US AIRWAYS*,California,Dusk,138
7/16/90,AMERICAN AIRLINES,Missouri,Day,150
7/16/90,BUSINESS,New Jersey,Day,128
7/16/90,US AIRWAYS*,New Jersey,Day,122
7/17/90,AMERICAN AIRLINES,Texas,Day,131
7/19/90,AMERICAN AIRLINES,Pennsylvania,Day,130
7/20/90,TRANS WORLD AIRLINES,Georgia,Day,192
7/22/90,AMERICAN AIRLINES,Texas,Day,142
7/23/90,AMERICA WEST AIRLINES,Missouri,Night,122
7/23/90,AMERICAN AIRLINES,Ohio,Day,141
7/24/90,AMERICAN AIRLINES,Missouri,Day,221
7/25/90,BUSINESS,Kentucky,Day,128
7/26/90,AMERICAN AIRLINES,Illinois,Day,143
7/26/90,AMERICAN AIRLINES,Texas,Day,134
7/28/90,SOUTHWEST AIRLINES,Texas,Day,124
7/29/90,UNKNOWN,California,Day,109
7/29/90,AMERICAN AIRLINES,Texas,Day,252
7/30/90,UNITED AIRLINES,Pennsylvania,Day,135
7/30/90,AMERICAN AIRLINES,Texas,Day,131
7/31/90,CONTINENTAL AIRLINES,Texas,Day,126
8/1/90,AMERICAN AIRLINES,Illinois,Day,129
8/1/90,AMERICAN AIRLINES,Pennsylvania,Night,174
