year,state,state_po,candidate,party,writein,candidatevotes
1976,ALABAMA,AL,"CARTER, JIMMY",DEMOCRAT,False,659171
1976,ALABAMA,AL,"FORD, GERALD",REPUBLICAN,False,504071
1976,ALABAMA,AL,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,9199
1976,ALABAMA,AL,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,6670
1976,ALABAMA,AL,"HALL, GUS",COMMUNIST PARTY USE,False,1955
1976,ALABAMA,AL,"MACBRIDE, ROGER",LIBERTARIAN,False,1482
1976,ALABAMA,AL,,,True,309
1976,ALASKA,AK,"FORD, GERALD",REPUBLICAN,False,71556
1976,ALASKA,AK,"CARTER, JIMMY",DEMOCRAT,False,44059
1976,ALASKA,AK,"MACBRIDE, ROGER",LIBERTARIAN,False,6786
1976,ALASKA,AK,,,True,1177
1976,ARIZONA,AZ,"FORD, GERALD",REPUBLICAN,False,418643
1976,ARIZONA,AZ,"CARTER, JIMMY",DEMOCRAT,False,295603
1976,ARIZONA,AZ,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,19230
1976,ARIZONA,AZ,"MACBRIDE, ROGER",LIBERTARIAN,False,7648
1976,ARIZONA,AZ,"CAMEJO, PETER",SOCIALIST WORKERS,False,929
1976,ARIZONA,AZ,"ANDERSON, THOMAS J.",AMERICAN,False,565
1976,ARIZONA,AZ,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,86
1976,ARIZONA,AZ,,,True,23
1976,ARKANSAS,AR,"CARTER, JIMMY",DEMOCRAT,False,498605
1976,ARKANSAS,AR,"FORD, GERALD",REPUBLICAN,False,267904
1976,ARKANSAS,AR,,INDEPENDENT,False,640
1976,ARKANSAS,AR,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,390
1976,CALIFORNIA,CA,"FORD, GERALD",REPUBLICAN,False,3882245
1976,CALIFORNIA,CA,"CARTER, JIMMY",DEMOCRAT,False,3742285
1976,CALIFORNIA,CA,"MACBRIDE, ROGER",INDEPENDENT,False,56389
1976,CALIFORNIA,CA,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,51099
1976,CALIFORNIA,CA,"WRIGHT, MARGARET",PEACE & FREEDOM,False,41732
1976,CALIFORNIA,CA,"CAMEJO, PETER",INDEPENDENT,False,17260
1976,CALIFORNIA,CA,"HALL, GUS",INDEPENDENT,False,12767
1976,COLORADO,CO,"FORD, GERALD",REPUBLICAN,False,584279
1976,COLORADO,CO,"CARTER, JIMMY",DEMOCRAT,False,460802
1976,COLORADO,CO,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,26048
1976,COLORADO,CO,"MACBRIDE, ROGER",LIBERTARIAN,False,5339
1976,COLORADO,CO,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,2887
1976,COLORADO,CO,"CAMEJO, PETER",SOCIALIST WORKERS,False,1123
1976,COLORADO,CO,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,566
1976,COLORADO,CO,"HALL, GUS",COMMUNIST PARTY USE,False,404
1976,CONNECTICUT,CT,"FORD, GERALD",REPUBLICAN,False,719262
1976,CONNECTICUT,CT,"CARTER, JIMMY",DEMOCRAT,False,647896
1976,CONNECTICUT,CT,SCATTERING,,False,10310
1976,CONNECTICUT,CT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,7102
1976,CONNECTICUT,CT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1790
1976,DELAWARE,DE,"CARTER, JIMMY",DEMOCRAT,False,122462
1976,DELAWARE,DE,"FORD, GERALD",REPUBLICAN,False,109781
1976,DELAWARE,DE,,NO PARTY AFFILIATION,False,2433
1976,DELAWARE,DE,"ANDERSON, THOMAS J.",AMERICAN,False,646
1976,DELAWARE,DE,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,136
1976,DELAWARE,DE,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,104
1976,DELAWARE,DE,,SOCIALIST LABOR,False,87
1976,DISTRICT OF COLUMBIA,DC,"CARTER, JIMMY",DEMOCRAT,False,137819
1976,DISTRICT OF COLUMBIA,DC,"FORD, GERALD",REPUBLICAN,False,27874
1976,DISTRICT OF COLUMBIA,DC,OTHER,,False,1657
1976,DISTRICT OF COLUMBIA,DC,,INDEPENDENT,False,1196
1976,DISTRICT OF COLUMBIA,DC,,,True,289
1976,FLORIDA,FL,"CARTER, JIMMY",DEMOCRAT,False,1636001
1976,FLORIDA,FL,"FORD, GERALD",REPUBLICAN,False,1469532
1976,FLORIDA,FL,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,23644
1976,FLORIDA,FL,"ANDERSON, THOMAS J.",AMERICAN,False,21326
1976,FLORIDA,FL,,,True,133
1976,GEORGIA,GA,"CARTER, JIMMY",DEMOCRAT,False,979410
1976,GEORGIA,GA,"FORD, GERALD",REPUBLICAN,False,483744
1976,HAWAII,HI,"CARTER, JIMMY",DEMOCRAT,False,147376
1976,HAWAII,HI,"FORD, GERALD",REPUBLICAN,False,140004
1976,HAWAII,HI,"MACBRIDE, ROGER",LIBERTARIAN,False,3924
1976,IDAHO,ID,"FORD, GERALD",REPUBLICAN,False,204152
1976,IDAHO,ID,"CARTER, JIMMY",DEMOCRAT,False,126550
1976,IDAHO,ID,"MADDOX, LESTER",AMERICAN,False,5936
1976,IDAHO,ID,"MACBRIDE, ROGER",LIBERTARIAN,False,3559
1976,IDAHO,ID,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,740
1976,ILLINOIS,IL,"FORD, GERALD",REPUBLICAN,False,2364270
1976,ILLINOIS,IL,"CARTER, JIMMY",DEMOCRAT,False,2271296
1976,ILLINOIS,IL,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,55940
1976,ILLINOIS,IL,"HALL, GUS",COMMUNIST PARTY USE,False,9251
1976,ILLINOIS,IL,"MACBRIDE, ROGER",LIBERTARIAN,False,8058
1976,ILLINOIS,IL,,,True,4418
1976,ILLINOIS,IL,"CAMEJO, PETER",SOCIALIST WORKERS,False,3616
1976,ILLINOIS,IL,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,2423
1976,ILLINOIS,IL,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,2019
1976,INDIANA,IN,"FORD, GERALD",REPUBLICAN,False,1183959
1976,INDIANA,IN,"CARTER, JIMMY",DEMOCRAT,False,1014715
1976,INDIANA,IN,"ANDERSON, THOMAS J.",AMERICAN,False,14049
1976,INDIANA,IN,"CAMEJO, PETER",SOCIALIST WORKERS,False,5696
1976,INDIANA,IN,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,1948
1976,IOWA,IA,"FORD, GERALD",REPUBLICAN,False,632865
1976,IOWA,IA,"CARTER, JIMMY",DEMOCRAT,False,619932
1976,IOWA,IA,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,False,20058
1976,IOWA,IA,"ANDERSON, THOMAS J.",AMERICAN PARTY OF IOWA,False,3042
1976,IOWA,IA,"MACBRIDE, ROGER",LIBERTARIAN,False,1455
1976,IOWA,IA,"HALL, GUS",COMMUNIST PARTY USE,False,552
1976,IOWA,IA,SCATTERING,,False,510
1976,IOWA,IA,"CAMEJO, PETER",SOCIALIST WORKERS,False,263
1976,IOWA,IA,"LAROUCHE, LYNDON, JR.",U.S. LABOR,False,242
1976,IOWA,IA,"ZEIDLER, FRANK",SOCIALIST U.S.A.,False,234
1976,IOWA,IA,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,False,161
1976,KANSAS,KS,"FORD, GERALD",REPUBLICAN,False,502753
