date,delay,destination,distance,Distance,origin
2/3/2001 20:50,-2,RDU,443,,BNA
2/7/2001 21:45,-1,LAS,,223,BUR
2/10/2001 12:10,-6,LAS,,1235,HOU
1/25/2001 11:50,8,MSY,,487,TPA
2/1/2001 08:00,-8,LAX,,337,OAK
1/16/2001 13:25,3,PVD,,1137,TPA
1/1/2001 17:16,-7,SFO,,651,PHX
1/22/2001 14:55,-15,PHX,,325,ONT
3/29/2001 08:30,-15,CMH,,802,MCO
1/21/2001 08:30,-1,PHX,304,,SAN
1/5/2001 08:45,-5,SDF,,1624,LAS
2/20/2001 14:25,-15,ABQ,677,,LAX
1/17/2001 08:07,16,LAX,,337,OAK
3/16/2001 15:35,5,LAS,,796,MAF
3/12/2001 10:45,43,MSY,708,,IND
3/19/2001 11:05,14,MCO,,1050,BDL
3/6/2001 16:25,-8,SJC,296,,BUR
3/29/2001 15:25,18,PBI,,142,MCO
3/11/2001 16:52,40,LAS,,345,RNO
3/27/2001 08:55,5,HOU,,303,MSY
1/18/2001 18:30,-5,BWI,,611,MDW
1/23/2001 07:00,-5,MDW,765,,ISP
1/17/2001 14:25,-4,BUR,,358,SMF
3/13/2001 21:20,0,FLL,,178,MCO
2/24/2001 14:03,5,TPA,829,,CMH
1/10/2001 09:25,0,BWI,588,,BNA
2/25/2001 09:30,-1,RNO,180,,OAK
3/24/2001 11:48,60,OKC,,181,DAL
3/25/2001 22:15,1,MDW,,251,STL
2/14/2001 12:15,-2,GEG,,279,PDX
2/15/2001 18:15,0,MHT,,377,BWI
3/27/2001 19:50,-5,GEG,546,,SLC
3/4/2001 17:00,-10,HOU,,239,DAL
2/3/2001 15:40,-8,BWI,377,,MHT
2/20/2001 11:20,5,ELP,,677,HOU
3/30/2001 12:10,-5,PHX,,872,AUS
1/25/2001 12:15,-16,BNA,,938,MHT
1/11/2001 18:07,45,SMF,,373,LAX
1/16/2001 16:45,0,AMA,,324,DAL
3/23/2001 17:55,4,DTW,440,,STL
3/7/2001 09:50,-2,BWI,,787,MCO
2/22/2001 17:50,0,HOU,,148,AUS
1/3/2001 18:30,37,BWI,,314,CLE
3/29/2001 08:30,-5,LAX,,370,PHX
2/9/2001 06:30,-2,FLL,,197,TPA
1/2/2001 12:54,-1,MCO,,1072,MCI
1/17/2001 16:45,3,ABQ,,628,SAN
3/27/2001 10:50,0,ELP,714,,LAX
1/22/2001 19:45,-5,LAS,,258,SAN
3/8/2001 11:05,0,FLL,,925,BWI
1/17/2001 12:00,0,BNA,,670,HOU
3/4/2001 13:15,-2,DAL,296,,LIT
3/10/2001 22:36,24,BDL,,283,BWI
1/15/2001 17:10,5,ABQ,,328,PHX
3/5/2001 17:40,-10,BWI,,281,BUF
2/12/2001 16:55,-9,TPA,,197,FLL
1/18/2001 16:50,55,BNA,,1448,PHX
3/31/2001 12:15,-11,OAK,,446,SAN
2/10/2001 12:30,27,LAS,2237,,ALB
3/22/2001 15:45,-5,SAN,,480,SMF
