year,month,industry,unemployed,rate
2000,1,Government,430,2.1
2000,2,Government,409,2.0
2000,3,Government,311,1.5
2000,4,Government,269,1.3
2000,5,Government,370,1.9
2000,6,Government,603,3.1
2000,7,Government,545,2.9
2000,8,Government,583,3.1
2000,9,Government,408,2.1
2000,10,Government,391,2.0
2000,11,Government,384,1.9
2000,12,Government,365,1.8
2001,1,Government,463,2.3
2001,2,Government,298,1.5
2001,3,Government,355,1.8
2001,4,Government,369,1.9
2001,5,Government,361,1.8
2001,6,Government,525,2.7
2001,7,Government,548,2.8
2001,8,Government,540,2.8
2001,9,Government,438,2.2
2001,10,Government,429,2.2
2001,11,Government,420,2.1
2001,12,Government,419,2.1
2002,1,Government,486,2.4
2002,2,Government,508,2.5
2002,3,Government,477,2.4
2002,4,Government,447,2.2
2002,5,Government,484,2.3
2002,6,Government,561,2.8
2002,7,Government,645,3.2
2002,8,Government,596,3.0
2002,9,Government,530,2.6
2002,10,Government,499,2.5
2002,11,Government,468,2.3
2002,12,Government,446,2.2
2003,1,Government,571,2.8
2003,2,Government,483,2.4
2003,3,Government,526,2.6
2003,4,Government,440,2.2
2003,5,Government,478,2.4
2003,6,Government,704,3.5
2003,7,Government,749,3.8
2003,8,Government,745,3.7
2003,9,Government,556,2.7
2003,10,Government,500,2.4
2003,11,Government,542,2.7
2003,12,Government,516,2.5
2004,1,Government,511,2.5
2004,2,Government,490,2.4
2004,3,Government,530,2.6
2004,4,Government,433,2.1
2004,5,Government,468,2.3
2004,6,Government,580,2.8
2004,7,Government,741,3.7
2004,8,Government,676,3.3
2004,9,Government,568,2.7
2004,10,Government,561,2.7
2004,11,Government,514,2.4
2004,12,Government,499,2.4
2005,1,Government,555,2.6
2005,2,Government,472,2.3
2005,3,Government,468,2.2
2005,4,Government,478,2.3
2005,5,Government,453,2.1
2005,6,Government,681,3.2
2005,7,Government,683,3.3
2005,8,Government,664,3.2
2005,9,Government,568,2.7
2005,10,Government,502,2.4
2005,11,Government,494,2.4
2005,12,Government,393,1.9
2006,1,Government,457,2.2
2006,2,Government,472,2.3
2006,3,Government,461,2.2
2006,4,Government,414,2.0
2006,5,Government,429,2.1
2006,6,Government,578,2.8
2006,7,Government,659,3.2
2006,8,Government,595,2.9
2006,9,Government,396,1.9
2006,10,Government,424,2.0
2006,11,Government,400,1.9
2006,12,Government,395,1.9
2007,1,Government,476,2.2
2007,2,Government,405,1.9
2007,3,Government,419,1.9
2007,4,Government,408,1.9
2007,5,Government,428,1.9
2007,6,Government,572,2.7
2007,7,Government,704,3.3
2007,8,Government,695,3.2
2007,9,Government,525,2.4
2007,10,Government,492,2.3
2007,11,Government,482,2.2
2007,12,Government,451,2.1
2008,1,Government,471,2.2
2008,2,Government,372,1.7
2008,3,Government,425,1.9
2008,4,Government,373,1.7
2008,5,Government,461,2.1
2008,6,Government,654,3.0
2008,7,Government,770,3.6
2008,8,Government,721,3.3
2008,9,Government,573,2.6
2008,10,Government,552,2.5
2008,11,Government,527,2.4
2008,12,Government,511,2.3
2009,1,Government,652,3.0
2009,2,Government,563,2.6
2009,3,Government,598,2.8
2009,4,Government,575,2.6
2009,5,Government,702,3.1
