zip_code,latitude,longitude,city,state,county
65441,38.10595,-91.248694,Bourbon,MO,Crawford
34758,28.203877,-81.487992,Kissimmee,FL,Osceola
55745,47.087782,-93.921429,Grand Rapids,MN,Itasca
79225,34.195699,-99.547098,Chillicothe,TX,Hardeman
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
40622,38.234133,-84.874809,Frankfort,KY,Franklin
96768,20.832664,-156.320242,Makawao,HI,Maui
35766,34.871329,-86.251275,Princeton,AL,Jackson
81251,39.151466,-106.422616,Twin Lakes,CO,Lake
31057,32.438321,-83.905039,Marshallville,GA,Macon
26292,39.138003,-79.481555,Thomas,WV,Tucker
52635,40.988685,-91.785249,Lockridge,IA,Jefferson
88530,31.694842,-106.299987,El Paso,TX,El Paso
45882,40.669681,-84.657861,Rockford,OH,Mercer
30153,33.993766,-85.091511,Rockmart,GA,Polk
56338,45.990074,-93.888513,Hillman,MN,Morrison
17332,39.775037,-76.735116,Hanover,PA,York
38183,35.201738,-89.971538,Germantown,TN,Shelby
88047,32.232085,-106.748341,Mesilla Park,NM,Dona Ana
97011,45.359095,-121.998736,Brightwood,OR,Clackamas
97218,45.575689,-122.605205,Portland,OR,Multnomah
79831,30.436562,-103.70439,Alpine,TX,Brewster
65256,39.148359,-92.425698,Harrisburg,MO,Boone
44815,41.246929,-83.239806,Bettsville,OH,Seneca
23606,37.073526,-76.493022,Newport News,VA,Newport News City
32725,28.900274,-81.245074,Deltona,FL,Volusia
17034,40.329577,-76.834076,Highspire,PA,Dauphin
11021,40.754757,-73.601772,Great Neck,NY,Nassau
61411,40.387329,-90.506582,Adair,IL,Mcdonough
48731,43.826222,-83.141633,Elkton,MI,Huron
20118,39.007548,-77.765553,Middleburg,VA,Loudoun
33476,26.623067,-80.17864,Pahokee,FL,Palm Beach
92782,33.705787,-117.816189,Tustin,CA,Orange
46408,41.544936,-87.375307,Gary,IN,Lake
98851,47.404594,-119.442377,Soap Lake,WA,Grant
13837,42.183045,-74.925617,Shinhopple,NY,Delaware
36273,33.565683,-85.38201,Ranburne,AL,Cleburne
13671,44.308475,-75.66879,Oxbow,NY,Jefferson
20416,38.893311,-77.014647,Washington,DC,District Of Columbia
96109,39.962841,-120.20247,Doyle,CA,Lassen
80754,40.735758,-103.997391,Stoneham,CO,Weld
78373,27.770678,-97.105137,Port Aransas,TX,Nueces
59450,47.861021,-110.471075,Highwood,MT,Chouteau
87734,36.008302,-105.023886,Ocate,NM,Mora
89150,35.927901,-114.972061,Las Vegas,NV,Clark
17845,40.978059,-77.08184,Millmont,PA,Union
10150,40.780751,-73.977182,New York,NY,New York
23870,36.721471,-77.531996,Jarratt,VA,Greensville
13319,43.028469,-75.264008,Chadwicks,NY,Oneida
96775,19.593456,-155.438015,Paauhau,HI,Hawaii
34239,27.310774,-82.520868,Sarasota,FL,Sarasota
51058,42.997133,-95.486296,Sutherland,IA,Obrien
45767,39.523303,-81.064116,New Matamoras,OH,Washington
17748,41.135507,-77.369964,Mc Elhattan,PA,Clinton
3238,43.967542,-71.840883,Glencliff,NH,Grafton
27570,36.37367,-78.110931,Ridgeway,NC,Warren
28240,35.26002,-80.804151,Charlotte,NC,Mecklenburg
2357,42.064499,-71.087091,North Easton,MA,Bristol
12174,42.343986,-73.73477,Stuyvesant Falls,NY,Columbia
40078,37.843697,-85.128804,Willisburg,KY,Washington
35491,32.835692,-87.956884,West Greene,AL,Greene
97732,43.019785,-119.069624,Crane,,Harney
62071,38.6516,-90.163909,National Stock Yards,,Saint Clair
50631,42.882661,-92.306271,Frederika,,Bremer
84076,40.425577,-109.840776,Tridell,,Uintah
78648,29.709928,-97.638005,Luling,,Caldwell
32175,29.022729,-81.172169,Ormond Beach,,Volusia
99125,46.911972,-117.702655,Endicott,,Whitman
66603,39.05215,-95.675758,Topeka,,Shawnee
28330,34.974434,-79.79851,Cordova,,Richmond
728,18.001995,-66.607429,Ponce,,Ponce
17405,40.008647,-76.597187,York,,York
24411,38.091705,-79.322363,Augusta Springs,,Augusta
49425,43.417206,-86.130268,Holton,,Muskegon
82936,41.024224,-110.173336,Lonetree,,Uinta
23670,37.072658,-76.38992,Hampton,,Hampton City
10499,40.851549,-73.840908,Bronx,,Bronx
74804,35.386758,-96.933148,Shawnee,,Pottawatomie
75124,32.289838,-95.791559,Eustace,,Henderson
10275,40.780751,-73.977182,New York,,New York
46375,41.487733,-87.441525,Schererville,,Lake
76886,31.349348,-100.494912,Veribest,,Tom Green
64173,39.035038,-94.356728,Kansas City,,Jackson
33442,26.301407,-80.138516,Deerfield Beach,,Broward
32446,30.799574,-85.229347,Marianna,,Jackson
52594,40.812488,-92.701454,Unionville,,Appanoose
15958,40.39114,-78.735229,Summerhill,,Cambria
54204,44.752379,-87.625888,Brussels,,Door
63951,37.119566,-90.444953,Lowndes,,Wayne
63043,38.723951,-90.447418,Maryland Heights,,Saint Louis
87063,34.650925,-105.880597,Willard,,Torrance
40144,37.802295,-86.414768,Harned,,Breckinridge
38762,33.767126,-90.846978,Mound Bayou,,Bolivar
53593,42.995697,-89.566512,Verona,,Dane
86323,34.755208,-112.171623,Chino Valley,,Yavapai
32739,29.022729,-81.172169,Deltona,,Volusia
2713,41.42178,-70.931309,Cuttyhunk,,Dukes
72532,36.061757,-91.607603,Evening Shade,,Sharp
34231,27.227589,-82.432111,Sarasota,,Sarasota
